Title,English Name,Synonyms,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Natsume Yuujinchou Movie: Utsusemi ni Musubu,,,Movie,1.0,,,,,8.41
Saiki Kusuo no Ψ-nan,,,TV,1.0,,,,,8.41
Saiki Kusuo no Ψ-nan 2,,,TV,2.0,,,,,8.41
Shingeki no Kyojin: Kuinaki Sentaku,,,OVA,2.0,,,,,8.41
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,,,Movie,1.0,,,,,8.41
Yuru Camp△ Movie,,,Movie,1.0,,,,,8.40
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,,TV,1.0,,,,,8.40
Kamisama Hajimemashita: Kako-hen,,,OVA,4.0,,,,,8.40
Natsume Yuujinchou Roku Specials,,,Special,2.0,,,,,8.40
Josee to Tora to Sakana-tachi,,,Movie,1.0,,,,,8.39
Karakai Jouzu no Takagi-san 3,,,TV,1.0,,,,,8.39
Kono Subarashii Sekai ni Shukufuku wo! 3,,,TV,1.0,,,,,8.39
Major S5,,,TV,2.0,,,,,8.39
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,,,Movie,1.0,,,,,8.39
Doupo Cangqiong: Nian Fan,,,ONA,1.0,,,,,8.39
Fruits Basket: Prelude,,,Movie,1.0,,,,,8.39
Houseki no Kuni,,,TV,1.0,,,,,8.39
Vivy: Fluorite Eye's Song,,,TV,1.0,,,,,8.39
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),,,Movie,1.0,,,,,8.38
Kaze ga Tsuyoku Fuiteiru,,,TV,2.0,,,,,8.38
Made in Abyss Movie 2: Hourou Suru Tasogare,,,Movie,1.0,,,,,8.38
Ramayana: The Legend of Prince Rama,,,Movie,1.0,,,,,8.38
Blue Giant,,,Movie,1.0,,,,,8.38
Chihayafuru 2,,,TV,2.0,,,,,8.38
Cowboy Bebop: Tengoku no Tobira,,,Movie,1.0,,,,,8.38
Gintama°: Aizome Kaori-hen,,,OVA,2.0,,,,,8.38
3-gatsu no Lion,,,TV,2.0,,,,,8.37
Barakamon,,,TV,1.0,,,,,8.37
Cross Game,,,TV,5.0,,,,,8.37
Haikyuu!! To the Top,,,TV,1.0,,,,,8.37
Tensei shitara Slime Datta Ken 2nd Season,,,TV,1.0,,,,,8.37
Mahou Shoujo Madoka★Magica,,,TV,1.0,,,,,8.37
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,,,Movie,1.0,,,,,8.37
Kimetsu no Yaiba: Mugen Ressha-hen,,,TV,7.0,,,,,8.36
Kizumonogatari I: Tekketsu-hen,,,Movie,1.0,,,,,8.36
Meitantei Conan Movie 26: Kurogane no Submarine,,,Movie,1.0,,,,,8.36
Mushoku Tensei: Isekai Ittara Honki Dasu,,,TV,1.0,,,,,8.36
Non Non Biyori Nonstop,,,TV,1.0,,,,,8.36
Baccano!,,,TV,1.0,,,,,8.36
Gintama: Shiroyasha Koutan,,,Special,1.0,,,,,8.35
Hellsing Ultimate,,,OVA,1.0,,,,,8.35
Initial D First Stage,,,TV,2.0,,,,,8.35
K-On! Movie,,,Movie,1.0,,,,,8.35
Kaze no Tani no Nausicaä,,,Movie,1.0,,,,,8.35
Shinseiki Evangelion,,,TV,2.0,,,,,8.35
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,,,TV,1.0,,,,,8.35
Tunshi Xingkong 3rd Season,,,ONA,3.0,,,,,8.34
